Pembroke Welsh Corgi,212,168,44
Perro De Presa Canario,3,3,0
Petit Basset Griffon Vendeen,9,8,1
Pharaoh Hound,55,45,10
Pointer,20,18,2
Polish Lowland Sheepdog,11,6,5
Pomeranian,36,28,8
"Poodle, Miniature",71,55,16
"Poodle, Standard",261,230,34
"Poodle, Toy",55,44,11
Portuguese Podengo Grande,2,1,1
Portuguese Podengo Medio,3,3,0
Portuguese Podengo Pequeno,2,1,1
Portuguese Water Dog,163,127,36
Presa Canario,39,35,4
Pug,48,44,4
Puli,26,24,2
Pumi,1,1,0
Pungsan,2,2,0
Pyrenean Shepherd,3,2,1
Rat Terrier,23,18,5
Rhodesian Ridgeback,556,467,88
Rottweiler,5,4,915
Russo – European Laika,2,2,0
Saint Bernard,53,45,8
Saluki,65,45,20
Samoyed,293,235,58
Schipperke,130,119,11
Scottish Deerhound,34,29,5
Scottish Terrier,35,23,12
Sealyham Terrier,1,1,0
Shetland Sheepdog,511,351,160
Shiba Inu,27,18,9
Shih Tzu,48,37,11
Shiloh Shepherd,26,21,5
Siberian Husky,304,264,40
Silken Windhound,4,4,0
Silky Terrier,19,14,5
Skye Terrier,8,3,5
Sloughi,3,3,0
Soft Coated Wheaten Terrier,37,27,10
Spinone Italiano,6,3,3
Staffordshire Bull Terrier,136,124,13
Standard Schnauzer,71,50,21
Sussex Spaniel,4,4,0
Swedish Vallhund,4,4,0
Texas Heeler,1,1,0
Thai Ridgeback,2,2,0
Tibetan Kyapso,1,1,0
Tibetan Mastiff,17,9,8
Tibetan Spaniel,12,11,1
Tibetan Terrier,14,8,6
Tosa,3,3,0
Toy Fox Terrier,10,8,2
Treeing Feist,2,1,1
Vizsla,52,44,8
Weimaraner,222,179,43
Welsh Springer Spaniel,6,6,0
Welsh Terrier,38,29,9
West Highland White Terrier,67,60,7
Whippet,201,173,28
White Shepherd,31,27,4
Wirehaired Pointing Griffon,2,2,0
Xoloitzcuintli,7,6,1
Yorkshire Terrier,42,35,7
Yugoslavian Tricolor Hound,1,1,0
